"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"93609","STANDARD","CARUTHERS","CA","PRIMARY",36.52,-119.87,"NA-US-CA-CARUTHERS","false",2214,4374,62288956
"96016","STANDARD","CASSEL","CA","PRIMARY",40.92,-121.57,"NA-US-CA-CASSEL","false",,,
"96017","STANDARD","CASTELLA","CA","PRIMARY",41.10,-122.35,"NA-US-CA-CASTELLA","false",,,
"95306","STANDARD","CATHEYS VALLEY","CA","PRIMARY",37.38,-120.12,"NA-US-CA-CATHEYS VALLEY","false",414,781,14170835
"95924","PO BOX","CEDAR RIDGE","CA","PRIMARY",39.19,-121.02,"NA-US-CA-CEDAR RIDGE","false",838,1401,22601330
"96019","STANDARD","SHASTA LAKE","CA","PRIMARY",40.68,-122.37,"NA-US-CA-SHASTA LAKE","false",3852,6917,104752899
"96079","PO BOX","SHASTA LAKE","CA","PRIMARY",40.68,-122.34,"NA-US-CA-SHASTA LAKE","false",,,
"96089","PO BOX","SHASTA LAKE","CA","PRIMARY",40.68,-122.40,"NA-US-CA-SHASTA LAKE","false",294,522,7182478
"95307","STANDARD","CERES","CA","PRIMARY",37.55,-120.96,"NA-US-CA-CERES","false",15983,30984,503604712
"95925","STANDARD","CHALLENGE","CA","PRIMARY",39.47,-121.19,"NA-US-CA-CHALLENGE","false",,,
"96020","STANDARD","CHESTER","CA","PRIMARY",40.27,-121.24,"NA-US-CA-CHESTER","false",1303,2304,36313197
"95712","PO BOX","CHICAGO PARK","CA","PRIMARY",39.16,-120.95,"NA-US-CA-CHICAGO PARK","false",355,609,12809053
"95926","STANDARD","CHICO","CA","PRIMARY",39.74,-121.83,"NA-US-CA-CHICO","false",14130,22651,418715754
"95927","PO BOX","CHICO","CA","PRIMARY",39.75,-121.81,"NA-US-CA-CHICO","false",2149,3301,58727156
"95928","STANDARD","CHICO","CA","PRIMARY",39.71,-121.81,"NA-US-CA-CHICO","false",13540,22333,445992625
"95929","UNIQUE","CHICO","CA","PRIMARY",39.75,-121.80,"NA-US-CA-CHICO","false",,,
"95973","STANDARD","CHICO","CA","PRIMARY",39.90,-121.83,"NA-US-CA-CHICO","false",13592,23889,496837724
"95976","UNIQUE","CHICO","CA","PRIMARY",39.75,-121.86,"NA-US-CA-CHICO","false",,,
"95309","PO BOX","CHINESE CAMP","CA","PRIMARY",37.86,-120.44,"NA-US-CA-CHINESE CAMP","false",,,
"93610","STANDARD","CHOWCHILLA","CA","PRIMARY",37.07,-120.27,"NA-US-CA-CHOWCHILLA","false",5592,11048,178023198
"95610","STANDARD","CITRUS HEIGHTS","CA","PRIMARY",38.69,-121.26,"NA-US-CA-CITRUS HEIGHTS","false",19387,32886,664461397
"95611","PO BOX","CITRUS HEIGHTS","CA","PRIMARY",38.70,-121.28,"NA-US-CA-CITRUS HEIGHTS","false",785,1216,24623857
"95621","STANDARD","CITRUS HEIGHTS","CA","PRIMARY",38.69,-121.31,"NA-US-CA-CITRUS HEIGHTS","false",18910,31963,630532102
"95612","STANDARD","CLARKSBURG","CA","PRIMARY",38.37,-121.58,"NA-US-CA-CLARKSBURG","false",636,1189,25909800
"95227","PO BOX","CLEMENTS","CA","PRIMARY",38.21,-121.03,"NA-US-CA-CLEMENTS","false",494,888,21648053
"95930","STANDARD","CLIPPER MILLS","CA","PRIMARY",39.54,-121.16,"NA-US-CA-CLIPPER MILLS","false",,,
"95981","STANDARD","STRAWBERRY VALLEY","CA","PRIMARY",39.56,-121.10,"NA-US-CA-STRAWBERRY VALLEY","false",,,
"93611","STANDARD","CLOVIS","CA","PRIMARY",36.93,-119.56,"NA-US-CA-CLOVIS","false",19052,36239,952210182
"93612","STANDARD","CLOVIS","CA","PRIMARY",36.81,-119.71,"NA-US-CA-CLOVIS","false",14020,24053,416143481
