"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"49643","STANDARD","INTERLOCHEN","MI","PRIMARY",44.65,-85.75,"NA-US-MI-INTERLOCHEN","false",2969,5269,90518408
"48846","STANDARD","IONIA","MI","PRIMARY",42.98,-85.05,"NA-US-MI-IONIA","false",6721,12086,192867778
"49801","STANDARD","IRON MOUNTAIN","MI","PRIMARY",45.82,-88.06,"NA-US-MI-IRON MOUNTAIN","false",5757,10098,194322596
"49802","STANDARD","KINGSFORD","MI","PRIMARY",45.80,-88.09,"NA-US-MI-KINGSFORD","false",3168,5364,89914103
"49935","STANDARD","IRON RIVER","MI","PRIMARY",46.09,-88.63,"NA-US-MI-IRON RIVER","false",2753,4637,66781786
"49644","STANDARD","IRONS","MI","PRIMARY",44.14,-85.91,"NA-US-MI-IRONS","false",828,1454,12446088
"49938","STANDARD","IRONWOOD","MI","PRIMARY",46.45,-90.15,"NA-US-MI-IRONWOOD","false",3702,6211,90965514
"49849","STANDARD","ISHPEMING","MI","PRIMARY",46.48,-87.66,"NA-US-MI-ISHPEMING","false",5749,10076,183196001
"49865","PO BOX","NATIONAL MINE","MI","PRIMARY",46.45,-87.68,"NA-US-MI-NATIONAL MINE","false",,,
"48847","STANDARD","ITHACA","MI","PRIMARY",43.29,-84.60,"NA-US-MI-ITHACA","false",2846,5112,83702613
"49427","PO BOX","JAMESTOWN","MI","PRIMARY",42.82,-85.84,"NA-US-MI-JAMESTOWN","false",,,
"49428","STANDARD","JENISON","MI","PRIMARY",42.90,-85.82,"NA-US-MI-JENISON","false",11705,22063,458320378
"49429","PO BOX","JENISON","MI","PRIMARY",42.90,-85.82,"NA-US-MI-JENISON","false",,,
"49751","STANDARD","JOHANNESBURG","MI","PRIMARY",44.98,-84.46,"NA-US-MI-JOHANNESBURG","false",885,1609,21307402
"49061","STANDARD","JONES","MI","PRIMARY",41.91,-85.81,"NA-US-MI-JONES","false",748,1361,23494084
"49001","STANDARD","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",9485,15484,254832341
"49002","STANDARD","PORTAGE","MI","PRIMARY",42.20,-85.59,"NA-US-MI-PORTAGE","false",9381,15993,343243188
"49003","PO BOX","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",,,
"49004","STANDARD","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",7463,12982,254409254
"49005","PO BOX","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",,,
"49006","STANDARD","KALAMAZOO","MI","PRIMARY",42.27,-85.58,"NA-US-MI-KALAMAZOO","false",8657,12928,239894981
