"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"05481","PO BOX","SAINT ALBANS BAY","VT","PRIMARY",44.82,-73.12,"NA-US-VT-SAINT ALBANS BAY","false",262,419,7409907
"05819","STANDARD","SAINT JOHNSBURY","VT","PRIMARY",44.41,-71.97,"NA-US-VT-SAINT JOHNSBURY","false",4055,6872,124175293
"05863","PO BOX","SAINT JOHNSBURY CENTER","VT","PRIMARY",44.47,-72.00,"NA-US-VT-SAINT JOHNSBURY CENTER","false",,,
"05769","STANDARD","SALISBURY","VT","PRIMARY",43.90,-73.10,"NA-US-VT-SALISBURY","false",548,951,16611396
"05154","STANDARD","SAXTONS RIVER","VT","PRIMARY",43.13,-72.51,"NA-US-VT-SAXTONS RIVER","false",508,849,12937618
"05262","STANDARD","SHAFTSBURY","VT","PRIMARY",42.98,-73.20,"NA-US-VT-SHAFTSBURY","false",1294,2236,45557560
"05065","STANDARD","SHARON","VT","PRIMARY",43.78,-72.45,"NA-US-VT-SHARON","false",631,1078,23258491
"05866","STANDARD","SHEFFIELD","VT","PRIMARY",44.60,-72.12,"NA-US-VT-SHEFFIELD","false",323,573,8362085
"05482","STANDARD","SHELBURNE","VT","PRIMARY",44.38,-73.23,"NA-US-VT-SHELBURNE","false",3937,6810,228105893
"05483","STANDARD","SHELDON","VT","PRIMARY",44.88,-72.95,"NA-US-VT-SHELDON","false",661,1194,24440569
"05485","PO BOX","SHELDON SPRINGS","VT","PRIMARY",44.89,-72.98,"NA-US-VT-SHELDON SPRINGS","false",,,
"05770","STANDARD","SHOREHAM","VT","PRIMARY",43.90,-73.32,"NA-US-VT-SHOREHAM","false",588,1014,18143008
"05670","PO BOX","SOUTH BARRE","VT","PRIMARY",44.16,-72.50,"NA-US-VT-SOUTH BARRE","false",406,637,10835788
"05486","STANDARD","SOUTH HERO","VT","PRIMARY",44.64,-73.31,"NA-US-VT-SOUTH HERO","false",951,1619,39479113
"05155","STANDARD","SOUTH LONDONDERRY","VT","PRIMARY",43.18,-72.79,"NA-US-VT-SOUTH LONDONDERRY","false",565,860,13803470
"05067","STANDARD","SOUTH POMFRET","VT","PRIMARY",43.68,-72.51,"NA-US-VT-SOUTH POMFRET","false",,,
"05068","STANDARD","SOUTH ROYALTON","VT","PRIMARY",43.82,-72.52,"NA-US-VT-SOUTH ROYALTON","false",1524,2458,45320281
"05069","STANDARD","SOUTH RYEGATE","VT","PRIMARY",44.22,-72.12,"NA-US-VT-SOUTH RYEGATE","false",335,581,9218551
"05070","STANDARD","SOUTH STRAFFORD","VT","PRIMARY",43.83,-72.37,"NA-US-VT-SOUTH STRAFFORD","false",284,495,10326015
"05071","STANDARD","SOUTH WOODSTOCK","VT","PRIMARY",43.57,-72.53,"NA-US-VT-SOUTH WOODSTOCK","false",,,
"05156","STANDARD","SPRINGFIELD","VT","PRIMARY",43.28,-72.47,"NA-US-VT-SPRINGFIELD","false",4456,7482,134780625
"05487","STANDARD","STARKSBORO","VT","PRIMARY",44.22,-72.99,"NA-US-VT-STARKSBORO","false",763,1323,25310357
"05772","STANDARD","STOCKBRIDGE","VT","PRIMARY",43.78,-72.77,"NA-US-VT-STOCKBRIDGE","false",,,
